,Azufre (S) Fosfato monocalcico mg/kg,Aluminio (Al) intercambiable cmol(+)/kg,Calcio (Ca) intercambiable cmol(+)/kg,Magnesio (Mg) intercambiable cmol(+)/kg,Potasio (K) intercambiable cmol(+)/kg,Sodio (Na) intercambiable cmol(+)/kg,Hierro (Fe) disponible olsen mg/kg,Cobre (Cu) disponible mg/kg,Manganeso (Mn) disponible Olsen mg/kg,Zinc (Zn) disponible Olsen mg/kg,Boro (B) disponible mg/kg,Cobre (Cu) disponible doble acido mg/kg,Manganeso (Mn) disponible doble acido mg/kg
count,12088.0,7301.0,11869.0,11895.0,11819.0,9376.0,12054.0,10127.0,11346.0,10627.0,12089.0,3.0,3.0
mean,18.210955460802527,2.0074068293408973,7.608102840149857,1.4009685586803695,0.5279922107342992,0.19663992888346907,493.9494685488605,3.502618802960318,7.259116974830755,8.73426582066639,0.3212910699108988,1.048,6.741599999999999
std,55.54395954148952,1.7724769028939986,9.18911471392322,1.4330206496608289,0.7790893681642396,0.42214216466361876,529.989602967959,3.557298071042151,12.04307274085026,18.72345802770841,0.4272946619995014,0.1153776408148476,5.043994417126172
min,0.1296296296296296,0.0,0.0312,0.00615502,0.007708716,0.0,3.919000000000001,0.036,0.118,0.02,0.0073845748918371,0.92,1.3848
25%,4.279082568807339,0.6281084314240182,2.17032872,0.510068,0.176,0.0544,144.03875,1.7487331288343562,2.5960872210953347,2.07,0.1521555367709213,1.0,4.4124
50%,6.992382585885083,1.5904733058783809,4.4928,0.983234395,0.323653536,0.116024125,362.23932926829264,2.6,4.704,3.9718750000000007,0.233996572024741,1.08,7.44
75%,12.926736542118444,2.949386258620582,9.36,1.7846842550000002,0.640723716,0.20086779065,669.82025,4.087,8.4515,8.4,0.3754848763425189,1.112,9.42
max,1768.1673646657362,13.64,137.17986025000002,22.98520471330276,42.89703516,14.83,7972.92,137.61702127659572,701.23,708.644,27.843565973869406,1.144,11.4
