Municipio;Altitud;Temp_Max;Temp_Min;Temp_Mean;Precipitacion;Humedad_Max;Radiacion_Solar
vergara;1155,0;;;20,9;;;
santa sofia;2382,0;;;14,1;;;
santana;1509,0;;;18,3;;;
coper;1287,0;;;20,4;;;
paez;1678,0;;;15,9;;;
boavita;2161,0;;;16,5;;;
jerico;2974,0;;;10,4;;;
otanche;822,0;;;23,4;;;
pesca;3215,0;;;8,6;;;
nimaima;814,0;;;22,6;;;
sativanorte;2906,0;;;10,9;;;
siachoque;3225,0;;;8,2;;;
buenavista;97,0;;;27,5;;;
carmen de apicala;317,0;;;25,4;;;
almeida;2216,0;;;12,6;;;
corrales;2439,0;;;14,2;;;
paya;1184,0;;;19,3;;;
guataqui;401,0;;;27,5;;;
jenesano;2175,0;;;12,7;;;
tenza;1772,0;;;14,9;;;
tinjaca;2246,0;;;14,9;;;
la capilla;2060,0;;;13,5;;;
guayata;1812,0;;;14,6;;;
paz de rio;2637,0;;;12,7;;;
caldas;3433,0;;;7,9;;;
san antonio;2312,0;;;13,1;;;
san miguel;;;;16,4;;;
pajarito;;;;19,5;;;
gachantiva;;;;13,4;;;
san eduardo;;;;14,6;;;
togui;;;;18,0;;;
berbeo;;;;17,2;;;
chinavita;;;;11,2;;;
beteitiva;;;;11,9;;;
san fernando;;;;29,1;;;
nuevo colon;;;;11,2;;;
cerinza;;;;10,9;;;
san juan nepomuceno;;;;26,0;;;
quetame;;;;16,1;;;
girardot;;;;28,0;;;
susacon;;;;12,4;;;
sachica;;;;15,4;;;
campohermoso;;;;19,6;;;
briceno;;;;18,0;;;
tunungua;;;;20,4;;;
cuitiva;3106,0;;;9,8;;;
espinal;323,0;;;26,6;;;
tuquerres;3186,0;;;8,1;;;
fosca;1932,0;;;14,9;;;
san mateo;2322,0;;;15,2;;;
sora;2747,0;;;10,9;;;
el retorno;175,0;;;25,3;;;
sutatausa;2607,0;;;9,6;;;
tutaza;3112,0;;;10,3;;;
la victoria;1190,0;;;22,0;;;
pisba;2012,0;;;14,3;;;
iza;2698,0;;;12,6;;;
floresta;2577,0;;;13,5;;;
chiquiza;2929,0;;;10,5;;;
villa de leyva;2241,0;;;14,9;;;
santa ana;51,0;;;27,4;;;
andalucia;1315,0;;;21,0;;;
la sierra;1391,0;;;17,2;;;
covarachia;2255,0;;;15,9;;;
